"Fap","diplome","Annee","Pourcentage"
"D6Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0169699346934115
"D6Z","Bac + 2","1982-1984",0.103787332436312
"D6Z","Bac, brevet professionnel ou équivalent","1982-1984",0.225485992011776
"D6Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.428509618396661
"D6Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.217957826468151
"D6Z","En cours d'études initiales","1982-1984",0.00728929599368801
"E0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00142306310518801
"E0Z","Bac + 2","1982-1984",0.00227387451597254
"E0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0126959675170872
"E0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.181421643194637
"E0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.796554384024266
"E0Z","En cours d'études initiales","1982-1984",0.00563106764284887
"E1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.012698521225987
"E1Z","Bac + 2","1982-1984",0.030876940406777
"E1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0493499740934584
"E1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.249699877088736
"E1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.6527675023618
"E1Z","En cours d'études initiales","1982-1984",0.00460718482324152
"E2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0294894916873582
"E2Z","Bac + 2","1982-1984",0.117763570754257
"E2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.19590512328148
"E2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.287634763008484
"E2Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.363631679178859
"E2Z","En cours d'études initiales","1982-1984",0.00557537208956161
"F0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0
"F0Z","Bac + 2","1982-1984",0.000771630198241933
"F0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.00630684381604972
