"code_reg","FAP_3","emp_fap_reg","emp_reg","variable","nom_reg","GID","var_classe","REG","emp_fap_reg2","pourcentage"
53,"P3Z","3680.23","1308549.40","0.2812","Bretagne","FRA.3_1","0,25 - 0,5","53",3680.23,0.0354631203706898
75,"P3Z","7556.90","2326392.53","0.3248","Nouvelle-Aquitaine","FRA.10_1","0,25 - 0,5","75",7556.9,0.0728191592181102
76,"P3Z","7989.57","2211951.10","0.3612","Occitanie","FRA.11_1","0,25 - 0,5","76",7989.57,0.0769884171967654
84,"P3Z","10689.30","3200845.62","0.3340","Auvergne-Rhône-Alpes","FRA.1_1","0,25 - 0,5","84",10689.3,0.103003326579701
93,"P3Z","8616.84","1900656.30","0.4534","Provence-Alpes-Côte d'Azur","FRA.13_1","0,25 - 0,5","93",8616.84,0.0830328632001192
94,"P3Z","488.01","131710.37","0.3705","Corse","FRA.5_1","0,25 - 0,5","94",488.01,0.0047025205957509
101,"P4Z","2426.47","126983.02","1.9109","Guadeloupe","Dom____","1,5 - 2,0","1",2426.47,0.00579434558964613
102,"P4Z","2555.01","129619.25","1.9712","Martinique","Dom____","1,5 - 2,0","2",2555.01,0.00610129567849665
103,"P4Z","3037.19","68798.00","4.4146","Guyane","Dom____","4,0 - 4,5","3",3037.19,0.00725272864754863
104,"P4Z","3805.93","260932.19","1.4586","La Réunion","Dom____","1,0 - 1,5","4",3805.93,0.00908845924738484
106,"P4Z","7.06","438.45","1.6097","Mayotte","Dom____","1,5 - 2,0","6",7.06,1.68590915457029e-05
11,"P4Z","79181.63","5730403.41","1.3818","Île-de-France","FRA.8_1","1,0 - 1,5","11",79181.63,0.189083618825492
24,"P4Z","16463.25","975024.95","1.6885","Centre-Val de Loire","FRA.4_1","1,5 - 2,0","24",16463.25,0.0393138015424636
27,"P4Z","18080.91","1070586.35","1.6889","Bourgogne-Franche-Comté","FRA.2_1","1,5 - 2,0","27",18080.91,0.0431767304418718
28,"P4Z","15313.09","1269386.93","1.2063","Normandie","FRA.9_1","1,0 - 1,5","28",15313.09,0.0365672501639642
32,"P4Z","27440.23","2109995.91","1.3005","Hauts-de-France","FRA.7_1","1,0 - 1,5","32",27440.23,0.0655265367712667
44,"P4Z","45784.21","2060125.53","2.2224","Grand Est","FRA.6_1","2,0 - 2,5","44",45784.21,0.109331471350947
52,"P4Z","13897.81","1530280.18","0.9082","Pays de la Loire","FRA.12_1","0,75 - 1,0","52",13897.81,0.0331875993023775
53,"P4Z","23509.34","1308549.40","1.7966","Bretagne","FRA.3_1","1,5 - 2,0","53",23509.34,0.0561396763794695
75,"P4Z","40284.63","2326392.53","1.7316","Nouvelle-Aquitaine","FRA.10_1","1,5 - 2,0","75",40284.63,0.0961986211125735
76,"P4Z","37592.07","2211951.10","1.6995","Occitanie","FRA.11_1","1,5 - 2,0","76",37592.07,0.0897688597057324
84,"P4Z","41303.59","3200845.62","1.2904","Auvergne-Rhône-Alpes","FRA.1_1","1,0 - 1,5","84",41303.59,0.0986318703932264
93,"P4Z","43989.28","1900656.30","2.3144","Provence-Alpes-Côte d'Azur","FRA.13_1","2,0 - 2,5","93",43989.28,0.10504522642345
94,"P4Z","4093.45","131710.37","3.1079","Corse","FRA.5_1","3,0 - 3,5","94",4093.45,0.00977504933254355
101,"Q0Z","1326.07","126983.02","1.0443","Guadeloupe","Dom____","1,0 - 1,5","1",1326.07,0.00543984373458459
102,"Q0Z","1319.00","129619.25","1.0176","Martinique","Dom____","1,0 - 1,5","2",1319,0.00541084097062529
103,"Q0Z","367.45","68798.00","0.5341","Guyane","Dom____","0,5 - 0,75","3",367.45,0.00150736430224129
104,"Q0Z","2067.71","260932.19","0.7924","La Réunion","Dom____","0,75 - 1,0","4",2067.71,0.00848222136722639
11,"Q0Z","54094.78","5730403.41","0.9440","Île-de-France","FRA.8_1","0,75 - 1,0","11",54094.78,0.221909212980259
24,"Q0Z","11244.85","975024.95","1.1533","Centre-Val de Loire","FRA.4_1","1,0 - 1,5","24",11244.85,0.046128957610717
27,"Q0Z","8085.99","1070586.35","0.7553","Bourgogne-Franche-Comté","FRA.2_1","0,75 - 1,0","27",8085.99,0.0331705883093756
28,"Q0Z","10844.89","1269386.93","0.8543","Normandie","FRA.9_1","0,75 - 1,0","28",10844.89,0.0444882298210193
32,"Q0Z","20911.61","2109995.91","0.9911","Hauts-de-France","FRA.7_1","0,75 - 1,0","32",20911.61,0.0857842275585576
44,"Q0Z","19596.85","2060125.53","0.9512","Grand Est","FRA.6_1","0,75 - 1,0","44",19596.85,0.0803907800418485
52,"Q0Z","16034.94","1530280.18","1.0478","Pays de la Loire","FRA.12_1","1,0 - 1,5","52",16034.94,0.0657790070610449
53,"Q0Z","11965.90","1308549.40","0.9144","Bretagne","FRA.3_1","0,75 - 1,0","53",11965.9,0.0490868703338932
75,"Q0Z","23900.07","2326392.53","1.0273","Nouvelle-Aquitaine","FRA.10_1","1,0 - 1,5","75",23900.07,0.0980435769194938
76,"Q0Z","17444.55","2211951.10","0.7886","Occitanie","FRA.11_1","0,75 - 1,0","76",17444.55,0.0715615510645348
84,"Q0Z","27813.90","3200845.62","0.8690","Auvergne-Rhône-Alpes","FRA.1_1","0,75 - 1,0","84",27813.9,0.114099006575341
93,"Q0Z","15903.06","1900656.30","0.8367","Provence-Alpes-Côte d'Azur","FRA.13_1","0,75 - 1,0","93",15903.06,0.0652380050085763
94,"Q0Z","848.25","131710.37","0.6440","Corse","FRA.5_1","0,5 - 0,75","94",848.25,0.00347971634066179
