"Fap3","rep_sousempl","annee","effectif","pourcentage","part"
"G0B",1,"2003-2005",1.35,0.00623182384711259,0.623182384711259
"G1Z",1,"2003-2005",1.42,0.00369022869022869,0.369022869022869
"H0Z",1,"2003-2005",2.3,0.0107461570807831,1.07461570807831
"J0Z",1,"2003-2005",20.68,0.0517737776331272,5.17737776331272
"J1Z",1,"2003-2005",6.08,0.0132594757273084,1.32594757273084
"J3Z",1,"2003-2005",30.81,0.0419172267421295,4.19172267421295
"J4Z",1,"2003-2005",0.59,0.00629467619758882,0.629467619758882
"J5Z",1,"2003-2005",4.31,0.0249305876908838,2.49305876908838
"J6Z",1,"2003-2005",0.18,0.00285442435775452,0.285442435775452
"K0Z",1,"2003-2005",4.94,0.0387846431655806,3.87846431655806
"L0Z",1,"2003-2005",34.59,0.0664412900251628,6.64412900251628
"L1Z",1,"2003-2005",19.55,0.0501166397498013,5.01166397498013
"L2Z",1,"2003-2005",24.71,0.0569486056695091,5.69486056695091
"L3Z",1,"2003-2005",4.36,0.0274110398591726,2.74110398591726
"L4Z",1,"2003-2005",6.57,0.0218642883290625,2.18642883290625
"L5Z",1,"2003-2005",6.11,0.0117094672288233,1.17094672288233
"L6Z",1,"2003-2005",1.22,0.00824881676808654,0.824881676808654
"M0Z",1,"2003-2005",1.22,0.031721268850754,3.1721268850754
"M1Z",1,"2003-2005",1.24,0.00727272727272727,0.727272727272727
"M2Z",1,"2003-2005",0.61,0.00209040128850965,0.209040128850965
"N0Z",1,"2003-2005",2.67,0.00973990442490789,0.973990442490789
"P0Z",1,"2003-2005",50.92,0.0562018498487892,5.62018498487892
"P1Z",1,"2003-2005",5.21,0.0128746880173969,1.28746880173969
"P2Z",1,"2003-2005",3.14,0.0080940351600763,0.80940351600763
"P3Z",1,"2003-2005",1.15,0.020368402408785,2.0368402408785
"P4Z",1,"2003-2005",0.74,0.00175517658499561,0.175517658499561
"Q0Z",1,"2003-2005",5.07,0.0171451760170437,1.71451760170437
"Q1Z",1,"2003-2005",2.24,0.0123715895283332,1.23715895283332
"Q2Z",1,"2003-2005",0.15,0.000717566016073479,0.0717566016073479
"R0Z",1,"2003-2005",64.12,0.200864607480734,20.0864607480734
"R1Z",1,"2003-2005",81.84,0.105119839699951,10.5119839699951
"R2Z",1,"2003-2005",15.08,0.030404451792411,3.0404451792411
"R3Z",1,"2003-2005",13.14,0.0242337058758438,2.42337058758438
"R4Z",1,"2003-2005",2.88,0.00638425217796103,0.638425217796103
"S0Z",1,"2003-2005",3.27,0.012941781770689,1.2941781770689
"S1Z",1,"2003-2005",28.26,0.0915837573322099,9.15837573322099
"S2Z",1,"2003-2005",47.79,0.145227459203209,14.5227459203209
"S3Z",1,"2003-2005",2.14,0.0103371654912569,1.03371654912569
"T0Z",1,"2003-2005",10.12,0.0505116046917894,5.05116046917894
"T1Z",1,"2003-2005",68.3,0.262530750307503,26.2530750307503
"T2A",1,"2003-2005",110.35,0.283413807273474,28.3413807273474
"T2B",1,"2003-2005",43.09,0.104341719737511,10.4341719737511
"T2Z",1,"2003-2005",153.44,0.19124300474867,19.1243004748669
"T3Z",1,"2003-2005",9.96,0.0507050857811943,5.07050857811943
"T4Z",1,"2003-2005",194.34,0.160765692730221,16.0765692730221
"T6Z",1,"2003-2005",5.26,0.051889119068758,5.1889119068758
"U0Z",1,"2003-2005",7.12,0.0471117580890624,4.71117580890624
"U1Z",1,"2003-2005",47.7,0.158208955223881,15.8208955223881
"V0Z",1,"2003-2005",20.82,0.0444027383821365,4.44027383821365
"V1Z",1,"2003-2005",6.29,0.0136605494624824,1.36605494624824
"V2Z",1,"2003-2005",7.88,0.0242655662991932,2.42655662991932
"V3Z",1,"2003-2005",13.13,0.0409314795186732,4.09314795186732
"V4Z",1,"2003-2005",10.63,0.0394170869178285,3.94170869178285
"V5Z",1,"2003-2005",49.68,0.166131621187801,16.6131621187801
"W0Z",1,"2003-2005",25.21,0.0230457715899846,2.30457715899845
"W1Z",1,"2003-2005",16.74,0.144372574385511,14.4372574385511
"X0Z",1,"2003-2005",0.23,0.0153435623749166,1.53435623749166
"ZZZ",1,"2003-2005",0,0,0
"A0Z",1,"2004-2006",23.6,0.036028884173244,3.6028884173244
"A1Z",1,"2004-2006",22.48,0.0713922764227642,7.13922764227642
"A2Z",1,"2004-2006",1.27,0.0225497159090909,2.25497159090909
"A3Z",1,"2004-2006",2.05,0.0740874593422479,7.40874593422479
"B0Z",1,"2004-2006",9.35,0.0467616904226057,4.67616904226057
"B1Z",1,"2004-2006",1.79,0.0169813110710559,1.69813110710559
"B2Z",1,"2004-2006",8.47,0.0230438567852868,2.30438567852868
"B3Z",1,"2004-2006",7.17,0.0439742410303588,4.39742410303588
"B4Z",1,"2004-2006",6.74,0.012353598856284,1.2353598856284
"B5Z",1,"2004-2006",1.07,0.0150513433675622,1.50513433675622
