"Fap3","Annee","Part"
"F2Z","1986-1988",16.5898944934955
"F3Z","1986-1988",2.8394496896637
"F4Z","1986-1988",28.6090425869947
"F5Z","1986-1988",19.260552326411
"G0A","1986-1988",2.11539951966519
"G0B","1986-1988",2.34342316862544
"G1Z","1986-1988",3.50495289479724
"H0Z","1986-1988",5.3486523420934
"J0Z","1986-1988",34.1051909855892
"J1Z","1986-1988",6.95410507904653
"J3Z","1986-1988",5.29109047998963
"J4Z","1986-1988",8.8939795744495
"J5Z","1986-1988",44.3994530654705
"J6Z","1986-1988",7.94534973721076
"K0Z","1986-1988",41.3871627322613
"L0Z","1986-1988",97.0769616606551
"L1Z","1986-1988",85.97608049078
"L2Z","1986-1988",79.5312586070445
"L3Z","1986-1988",97.4255916460368
"L4Z","1986-1988",52.9936190919603
"L5Z","1986-1988",25.7549395877555
"L6Z","1986-1988",18.8948146860003
"M0Z","1986-1988",84.4199688815686
"M1Z","1986-1988",20.3413148926603
"M2Z","1986-1988",14.402438626576
"N0Z","1986-1988",12.0424245407257
"P0Z","1986-1988",77.6706807615075
"P1Z","1986-1988",62.3416074464691
"P2Z","1986-1988",25.2331948882554
"P3Z","1986-1988",26.4949372189633
"P4Z","1986-1988",3.78814175290944
"Q0Z","1986-1988",72.2158742467291
"Q1Z","1986-1988",45.8479573555045
"Q2Z","1986-1988",20.3445918363204
"R0Z","1986-1988",81.7756860095579
"R1Z","1986-1988",80.3724743440671
"R2Z","1986-1988",21.548960317241
"R3Z","1986-1988",48.4055615797322
"R4Z","1986-1988",11.6158698763864
"S0Z","1986-1988",9.33239772586701
"S1Z","1986-1988",25.8053248251011
"S2Z","1986-1988",52.6576594499475
"S3Z","1986-1988",53.7448582530549
"T0Z","1986-1988",84.6813371165085
"T1Z","1986-1988",97.8972704129575
"T2A","1986-1988",NA
"T2B","1986-1988",NA
"T3Z","1986-1988",29.8886383467135
"T4Z","1986-1988",74.8732204536643
"T6Z","1986-1988",39.1189781925488
"U0Z","1986-1988",48.1941037345219
