"Fap","stat_sl","annee","effectif","pourcentage","part"
"F4Z","int","1985-1987",0.85885,0.00802400184163852,0.802400184163852
"F5Z","int","1985-1987",0.18943,0.00566823401131911,0.566823401131911
"G0A","int","1985-1987",1.78114,0.00778512471829767,0.778512471829767
"G0B","int","1985-1987",0.58381,0.00259898453474878,0.259898453474878
"G1Z","int","1985-1987",1.12151,0.00440931908257258,0.440931908257258
"H0Z","int","1985-1987",0,0,0
"J0Z","int","1985-1987",18.34754,0.0402976832072875,4.02976832072875
"J1Z","int","1985-1987",3.86205,0.0113888431889539,1.13888431889539
"J3Z","int","1985-1987",2.68453,0.00425991848531972,0.425991848531972
"J4Z","int","1985-1987",0.05966,0.00174363635566558,0.174363635566558
"J5Z","int","1985-1987",0.44585,0.00307985943931845,0.307985943931845
"J6Z","int","1985-1987",0,0,0
"K0Z","int","1985-1987",0.92235,0.00587858695939674,0.587858695939674
"L0Z","int","1985-1987",8.26884,0.015234756404539,1.5234756404539
"L1Z","int","1985-1987",3.8542,0.0116433535262834,1.16433535262834
"L2Z","int","1985-1987",1.62118,0.00749924796121511,0.749924796121511
"L3Z","int","1985-1987",2.62317,0.0144861619730696,1.44861619730696
"L4Z","int","1985-1987",0.28847,0.00200625934555065,0.200625934555065
"L5Z","int","1985-1987",0.1137,0.000431003062396165,0.0431003062396165
"L6Z","int","1985-1987",NA,NA,NA
"M0Z","int","1985-1987",1.43285,0.0430708750886006,4.30708750886006
"M1Z","int","1985-1987",1.0206,0.00671592025808717,0.671592025808717
"M2Z","int","1985-1987",0.09333,0.00174710860358793,0.174710860358793
"N0Z","int","1985-1987",0.24089,0.00161021607871175,0.161021607871175
"P0Z","int","1985-1987",0.236,0.000282937103897046,0.0282937103897046
"P1Z","int","1985-1987",0.19171,0.000509143387695786,0.0509143387695786
"P2Z","int","1985-1987",0,0,0
"P3Z","int","1985-1987",0,0,0
"P4Z","int","1985-1987",0,0,0
"Q0Z","int","1985-1987",1.49532,0.00415537995290669,0.415537995290669
"Q1Z","int","1985-1987",0.22088,0.00172354247594274,0.172354247594274
"Q2Z","int","1985-1987",0,0,0
"R0Z","int","1985-1987",1.01813,0.00376703988652668,0.376703988652668
"R1Z","int","1985-1987",1.1052,0.00162479724031452,0.162479724031452
"R2Z","int","1985-1987",0.53472,0.00142107440155791,0.142107440155791
"R3Z","int","1985-1987",0.27757,0.00048567752601044,0.048567752601044
"R4Z","int","1985-1987",0.34443,0.00129872886860139,0.129872886860139
"S0Z","int","1985-1987",0,0,0
"S1Z","int","1985-1987",0.48908,0.00178192694405577,0.178192694405577
"S2Z","int","1985-1987",1.29262,0.00578453810533487,0.578453810533487
"S3Z","int","1985-1987",0,0,0
"T0Z","int","1985-1987",0.20402,0.00124855512271115,0.124855512271115
"T1Z","int","1985-1987",0.71093,0.00350081292349665,0.350081292349665
"T2A","int","1985-1987",0,NA,NA
"T2B","int","1985-1987",0,NA,NA
"T2Z","int","1985-1987",0,0,0
"T3Z","int","1985-1987",0.63422,0.00395173650038846,0.395173650038846
"T4Z","int","1985-1987",3.34667,0.00286958287850561,0.286958287850561
"T6Z","int","1985-1987",0,0,0
"U0Z","int","1985-1987",0.19344,0.00300558699841237,0.300558699841237
"U1Z","int","1985-1987",1.6791,0.00864194360198947,0.864194360198947
