"Fap","sumeffsal","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"B7Z91",125.07364,"Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres)","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"M2Z91",0,"Ingénieurs et cadres d'administration, maintenance en informatique","M","Informatique et télécommunications","M2Z","Ingénieurs de l'informatique"
"N0Z90",242.24908,"Ingénieurs et cadres d'étude, recherche et développement (industrie)","N","Études et recherche","N0Z","Personnels d'études et de recherche"
"M2Z90",380.6592,"Ingénieurs et cadres d'étude, recherche et développement en informatique, chefs de projets informatiques","M","Informatique et télécommunications","M2Z","Ingénieurs de l'informatique"
"H0Z90",134.05558,"Ingénieurs et cadres de fabrication et de la production","H","Ingénieurs et cadres de l'industrie","H0Z","Ingénieurs et cadres techniques de l'industrie"
"H",310.7027,"Ingénieurs et cadres de l'industrie","H","Ingénieurs et cadres de l'industrie",NA,NA
"J6Z92",48.82924,"Ingénieurs et cadres de la logistique, du planning et de l'ordonnancement","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"M2Z92",30.15497,"Ingénieurs et cadres des télécommunications","M","Informatique et télécommunications","M2Z","Ingénieurs de l'informatique"
"R4Z91",175.43486,"Ingénieurs et cadres technico-commerciaux","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"H0Z",310.7027,"Ingénieurs et cadres techniques de l'industrie","H","Ingénieurs et cadres de l'industrie","H0Z","Ingénieurs et cadres techniques de l'industrie"
"A2Z90",0,"Ingénieurs, cadres techniques de l'agriculture","A","Agriculture, marine, pêche","A2Z","Techniciens et cadres de l'agriculture"
"R3Z81",0,"Intermédiaires du commerce","R","Commerce","R3Z","Maîtrise des magasins et intermédiaires du commerce"
"U0Z81",6.73988,"Interprètes","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"A1Z41",134.83334,"Jardiniers salariés","A","Agriculture, marine, pêche","A1Z","Maraîchers, jardiniers, viticulteurs"
"U0Z92",54.67215,"Journalistes et cadres de l'édition","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"L5Z91",36.65639,"Juristes","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"P3Z91",9.31027,"Magistrats","P","Administration publique, professions juridiques, armée et police","P3Z","Professionnels du droit (hors juristes en entreprise)"
"G",759.72098,"Maintenance","G","Maintenance",NA,NA
"G0A42",3.83667,"Mainteniciens en biens électrodomestiques","G","Maintenance","G0A","Ouvriers qualifiés de la maintenance"
"A1Z00",0,"Maraîchers, horticulteurs indépendants","A","Agriculture, marine, pêche","A1Z","Maraîchers, jardiniers, viticulteurs"
"A1Z40",32.82586,"Maraîchers, horticulteurs salariés","A","Agriculture, marine, pêche","A1Z","Maraîchers, jardiniers, viticulteurs"
"A1Z",230.75052,"Maraîchers, jardiniers, viticulteurs","A","Agriculture, marine, pêche","A1Z","Maraîchers, jardiniers, viticulteurs"
"A3Z41",3.55518,"Marins salariés","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"A3Z",17.85739,"Marins, pêcheurs, aquaculteurs","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
