"Fap","annee","effectif","age","pourcentage"
"A2Z90","2003-2005",2.10079,"25-29 ans",0.209984716862129
"A2Z90","2003-2005",1.26265,"30-34 ans",0.126208332458726
"A2Z90","2003-2005",2.00823,"35-39 ans",0.200732870940948
"A2Z90","2003-2005",2.5976,"40-44 ans",0.259643420104373
"A2Z90","2003-2005",0.41156,"45-49 ans",0.041137529249367
"A2Z90","2003-2005",0.77372,"50-54 ans",0.0773372755632721
"A2Z90","2003-2005",0.384,"55-59 ans",0.038382766138004
"A2Z90","2003-2005",0,"60 ans ou plus",0
"A3Z00","2003-2005",0,"15-24 ans",0
"A3Z00","2003-2005",0.4223,"25-29 ans",0.0517925648296229
"A3Z00","2003-2005",0.71308,"30-34 ans",0.0874549896488457
"A3Z00","2003-2005",1.51999,"35-39 ans",0.18641766662415
"A3Z00","2003-2005",1.37888,"40-44 ans",0.169111370571325
"A3Z00","2003-2005",1.98794,"45-49 ans",0.24380893044613
"A3Z00","2003-2005",0.51419,"50-54 ans",0.0630623227794076
"A3Z00","2003-2005",1.46586,"55-59 ans",0.179778946438909
"A3Z00","2003-2005",0.15144,"60 ans ou plus",0.0185732086616105
"A3Z40","2003-2005",2.27975,"15-24 ans",0.225477386984374
"A3Z40","2003-2005",1.80648,"25-29 ans",0.178668884763475
"A3Z40","2003-2005",1.63649,"30-34 ans",0.161856119761403
"A3Z40","2003-2005",1.17727,"35-39 ans",0.116437224860223
"A3Z40","2003-2005",0.65523,"40-44 ans",0.0648051533167108
"A3Z40","2003-2005",1.22308,"45-49 ans",0.120968037053558
"A3Z40","2003-2005",1.22568,"50-54 ans",0.121225188586033
"A3Z40","2003-2005",0.10679,"55-59 ans",0.0105620046742236
"A3Z40","2003-2005",0,"60 ans ou plus",0
"A3Z41","2003-2005",0,"15-24 ans",0
"A3Z41","2003-2005",0,"25-29 ans",0
"A3Z41","2003-2005",0.40646,"30-34 ans",0.0915675244598336
"A3Z41","2003-2005",1.44423,"35-39 ans",0.325356900680572
"A3Z41","2003-2005",0.86335,"40-44 ans",0.194495946076852
"A3Z41","2003-2005",0.1303,"45-49 ans",0.0293540531346659
"A3Z41","2003-2005",1.28877,"50-54 ans",0.290334789396496
"A3Z41","2003-2005",0.3058,"55-59 ans",0.0688907862515798
"A3Z41","2003-2005",0,"60 ans ou plus",0
"A3Z90","2003-2005",0.15652,"15-24 ans",0.0320357608493202
"A3Z90","2003-2005",0.04246,"25-29 ans",0.00869050859738139
"A3Z90","2003-2005",0.34634,"30-34 ans",0.0708872055491538
"A3Z90","2003-2005",0.04753,"35-39 ans",0.00972821181426136
"A3Z90","2003-2005",1.56154,"40-44 ans",0.319608497295217
"A3Z90","2003-2005",1.05101,"45-49 ans",0.215115672184028
"A3Z90","2003-2005",1.28253,"50-54 ans",0.262502072336306
"A3Z90","2003-2005",0.39786,"55-59 ans",0.0814320713743325
"A3Z90","2003-2005",0,"60 ans ou plus",0
"B0Z20","2003-2005",11.85517,"15-24 ans",0.176909724657504
"B0Z20","2003-2005",6.41423,"25-29 ans",0.0957168613516216
"B0Z20","2003-2005",9.71914,"30-34 ans",0.145034645754362
"B0Z20","2003-2005",9.68278,"35-39 ans",0.144492060739676
"B0Z20","2003-2005",10.42099,"40-44 ans",0.155508058640965
"B0Z20","2003-2005",6.54527,"45-49 ans",0.0976723162560321
"B0Z20","2003-2005",7.56788,"50-54 ans",0.112932295955354
"B0Z20","2003-2005",4.2043,"55-59 ans",0.0627390037745174
"B0Z20","2003-2005",0.60278,"60 ans ou plus",0.00899503286996732
"B0Z21","2003-2005",39.28633,"15-24 ans",0.338738742933374
"B0Z21","2003-2005",18.29367,"25-29 ans",0.157733613178884
"B0Z21","2003-2005",13.00317,"30-34 ans",0.112117305432932
"B0Z21","2003-2005",13.62238,"35-39 ans",0.117456323279897
"B0Z21","2003-2005",12.3415,"40-44 ans",0.106412184490438
"B0Z21","2003-2005",7.97997,"45-49 ans",0.0688057399723017
"B0Z21","2003-2005",6.04653,"50-54 ans",0.0521350294443114
"B0Z21","2003-2005",3.79073,"55-59 ans",0.0326848324849847
"B0Z21","2003-2005",1.61398,"60 ans ou plus",0.0139162287828771
"B1Z40","2003-2005",5.38372,"15-24 ans",0.050117471259617
"B1Z40","2003-2005",7.64699,"25-29 ans",0.0711864290021729
"B1Z40","2003-2005",14.10674,"30-34 ans",0.131320747831776
"B1Z40","2003-2005",15.83443,"35-39 ans",0.147403949395105
"B1Z40","2003-2005",17.83447,"40-44 ans",0.166022478445295
"B1Z40","2003-2005",17.26384,"45-49 ans",0.160710439070127
"B1Z40","2003-2005",18.62815,"50-54 ans",0.173410907744986
"B1Z40","2003-2005",10.23461,"55-59 ans",0.0952747863054521
"B1Z40","2003-2005",0.48907,"60 ans ou plus",0.00455279094546909
