Fap3;Type_mmo;Annee;Taux;;;
F2Z;Taux d'entrée;2009;17.86;;;
F3Z;Taux d'entrée;2009;9.49;;;
F4Z;Taux d'entrée;2009;20.83;;;
F5Z;Taux d'entrée;2009;9.87;;;
G0A;Taux d'entrée;2009;31.81;;;
G0B;Taux d'entrée;2009;24.41;;;
G1Z;Taux d'entrée;2009;13.55;;;
H0Z;Taux d'entrée;2009;8.48;;;
J0Z;Taux d'entrée;2009;44.53;;;
J1Z;Taux d'entrée;2009;18.19;;;
J3Z;Taux d'entrée;2009;36.33;;;
J4Z;Taux d'entrée;2009;18.89;;;
J5Z;Taux d'entrée;2009;21.52;;;
J6Z;Taux d'entrée;2009;8;;;
K0Z;Taux d'entrée;2009;163.81;;;
L0Z;Taux d'entrée;2009;25.57;;;
L1Z;Taux d'entrée;2009;17.51;;;
L2Z;Taux d'entrée;2009;117.15;;;
L3Z;Taux d'entrée;2009;13.56;;;
L4Z;Taux d'entrée;2009;12.06;;;
L5Z;Taux d'entrée;2009;13.75;;;
L6Z;Taux d'entrée;2009;125.57;;;
M0Z;Taux d'entrée;2009;48.47;;;
M1Z;Taux d'entrée;2009;16.4;;;
M2Z;Taux d'entrée;2009;17.01;;;
N0Z;Taux d'entrée;2009;8.76;;;
P0Z;Taux d'entrée;2009;3.2;;;
P1Z;Taux d'entrée;2009;0.84;;;
P2Z;Taux d'entrée;2009;2.48;;;
P3Z;Taux d'entrée;2009;4.35;;;
P4Z;Taux d'entrée;2009;4.84;;;
Q0Z;Taux d'entrée;2009;19.22;;;
Q1Z;Taux d'entrée;2009;12.74;;;
Q2Z;Taux d'entrée;2009;4.07;;;
R0Z;Taux d'entrée;2009;146.31;;;
R1Z;Taux d'entrée;2009;67.64;;;
R2Z;Taux d'entrée;2009;23.23;;;
R3Z;Taux d'entrée;2009;18.78;;;
R4Z;Taux d'entrée;2009;12.72;;;
S0Z;Taux d'entrée;2009;37.96;;;
S1Z;Taux d'entrée;2009;132.48;;;
S2Z;Taux d'entrée;2009;145.4;;;
S3Z;Taux d'entrée;2009;15.76;;;
T0Z;Taux d'entrée;2009;39.43;;;
T1Z;Taux d'entrée;2009;126.67;;;
T2A;Taux d'entrée;2009;60.97;;;
T2B;Taux d'entrée;2009;33.61;;;
T3Z;Taux d'entrée;2009;81.4;;;
T4Z;Taux d'entrée;2009;160.66;;;
T6Z;Taux d'entrée;2009;780.72;;;
U0Z;Taux d'entrée;2009;42.96;;;
U1Z;Taux d'entrée;2009;273.23;;;
V0Z;Taux d'entrée;2009;143.28;;;
V1Z;Taux d'entrée;2009;112.65;;;
V2Z;Taux d'entrée;2009;71.89;;;
V3Z;Taux d'entrée;2009;29.31;;;
V4Z;Taux d'entrée;2009;57.16;;;
V5Z;Taux d'entrée;2009;185.69;;;
W0Z;Taux d'entrée;2009;41.8;;;
W1Z;Taux d'entrée;2009;78.9;;;
X0Z;Taux d'entrée;2009;1.38;;;
ZZZ;Taux d'entrée;2009;314.89;;;
A0Z;Taux d'entrée;2010;179.29;;;
A1Z;Taux d'entrée;2010;183.56;;;
A2Z;Taux d'entrée;2010;12.61;;;
A3Z;Taux d'entrée;2010;95.38;;;
B0Z;Taux d'entrée;2010;28.25;;;
B1Z;Taux d'entrée;2010;31.42;;;
B2Z;Taux d'entrée;2010;23.18;;;
B3Z;Taux d'entrée;2010;43.6;;;
B4Z;Taux d'entrée;2010;31.64;;;
B5Z;Taux d'entrée;2010;22.14;;;
B6Z;Taux d'entrée;2010;15.18;;;
B7Z;Taux d'entrée;2010;15.78;;;
C0Z;Taux d'entrée;2010;27.22;;;
C1Z;Taux d'entrée;2010;21.1;;;
C2Z;Taux d'entrée;2010;6.79;;;
D0Z;Taux d'entrée;2010;10.76;;;
D1Z;Taux d'entrée;2010;8.51;;;
D2Z;Taux d'entrée;2010;13.89;;;
D3Z;Taux d'entrée;2010;15.85;;;
D4Z;Taux d'entrée;2010;7.01;;;
D6Z;Taux d'entrée;2010;4.67;;;
E0Z;Taux d'entrée;2010;71.94;;;
E1Z;Taux d'entrée;2010;29.03;;;
E2Z;Taux d'entrée;2010;7.45;;;
Ensemble;Taux d'entrée;2010;53.15;;;
F0Z;Taux d'entrée;2010;23;;;
