"Fap","statut","Annee","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"T4Z","Contrats à durée déterminée","1982-1984",16.4313695262607,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Contrats ou emplois à durée indéterminée","1982-1984",81.9176691909207,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Intérimaires","1982-1984",0.328142836636066,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Non-salariés, chefs d'entreprise","1982-1984",1.29643214212861,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Apprentis","2017-2019",0.206490672851758,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Contrats à durée déterminée","2017-2019",21.7622324551587,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Contrats ou emplois à durée indéterminée","2017-2019",74.9138365210167,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Intérimaires","2017-2019",1.7824193162127,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Non-salariés, chefs d'entreprise","2017-2019",1.33502103476018,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Apprentis","2003-2005",0.0299313524330623,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Contrats à durée déterminée","2003-2005",18.2656361336236,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Contrats ou emplois à durée indéterminée","2003-2005",78.9440236980878,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Intérimaires","2003-2005",1.45571106928979,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Non-salariés, chefs d'entreprise","2003-2005",1.30469774656576,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Apprentis","2017-2019",0.158047626136727,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Contrats à durée déterminée","2017-2019",21.2052808740484,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Contrats ou emplois à durée indéterminée","2017-2019",75.3546023026329,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Intérimaires","2017-2019",1.39375762340659,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Non-salariés, chefs d'entreprise","2017-2019",1.88831157377534,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"J4Z","Apprentis","1982-1984",0,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Contrats à durée déterminée","1982-1984",2.94492268101914,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
