"fap","Non_immigres","Immigrés","lieu_naissance","effectif","pourcentage","pourcentage_immigres","pourcentage_emploi","id"
"A2Z",57300,2900,"Chine",100,0.000599161174355902,3.44827586206897,0.166112956810631,"Chine"
"A3Z",28000,1300,"Chine",0,0,0,0,"Chine"
"B",1568700,324000,"Chine",1400,0.00838825644098262,0.432098765432099,0.0739684049241824,"Chine"
"B0Z",197900,73200,"Chine",200,0.0011983223487118,0.273224043715847,0.0737735153080044,"Chine"
"B1Z",71900,17100,"Chine",0,0,0,0,"Chine"
"B2Z",232000,76500,"Chine",200,0.0011983223487118,0.261437908496732,0.0648298217179903,"Chine"
"B3Z",168800,34100,"Chine",200,0.0011983223487118,0.586510263929619,0.098570724494825,"Chine"
"B4Z",405800,68500,"Chine",200,0.0011983223487118,0.291970802919708,0.0421674045962471,"Chine"
"B5Z",48100,5700,"Chine",0,0,0,0,"Chine"
"B6Z",289200,29300,"Chine",100,0.000599161174355902,0.341296928327645,0.0313971742543171,"Chine"
"B7Z",155100,19500,"Chine",400,0.00239664469742361,2.05128205128205,0.229095074455899,"Chine"
"C",164000,17300,"Chine",100,0.000599161174355902,0.578034682080925,0.0551571980143409,"Chine"
"C0Z",35500,3900,"Chine",0,0,0,0,"Chine"
"C1Z",42400,5500,"Chine",0,0,0,0,"Chine"
"C2Z",86000,7900,"Chine",100,0.000599161174355902,1.26582278481013,0.106496272630458,"Chine"
"D",739900,73400,"Chine",300,0.00179748352306771,0.408719346049046,0.0368867576540022,"Chine"
"D0Z",50300,5500,"Chine",0,0,0,0,"Chine"
"D1Z",78300,7100,"Chine",0,0,0,0,"Chine"
