"Fap3","Age","Part"
"M2Z","30-49 ans",50.5490293644977
"N0Z","30-49 ans",47.1343859859288
"P0Z","30-49 ans",47.1153846153846
"P1Z","30-49 ans",42.5
"P2Z","30-49 ans",46.6480691284105
"P3Z","30-49 ans",48.0366395458047
"P4Z","30-49 ans",25.148670917819
"Q0Z","30-49 ans",48.6393959729135
"Q1Z","30-49 ans",52.396805567365
"Q2Z","30-49 ans",49.6714494183938
"R0Z","30-49 ans",40.3371458388083
"R1Z","30-49 ans",37.0892265880687
"R2Z","30-49 ans",44.4253464703335
"R3Z","30-49 ans",51.167742688239
"R4Z","30-49 ans",47.7138475445513
"S0Z","30-49 ans",37.6540838539666
"S1Z","30-49 ans",45.0314944279089
"S2Z","30-49 ans",42.3398387556927
"S3Z","30-49 ans",53.217187434858
"T0Z","30-49 ans",43.9758314013247
"T1Z","30-49 ans",43.3922651933702
"T2A","30-49 ans",41.1774158793001
"T2B","30-49 ans",43.6923405951374
"T3Z","30-49 ans",44.5698523720393
"T4Z","30-49 ans",46.746420455799
"T6Z","30-49 ans",51.2136846843727
"U0Z","30-49 ans",43.4914467137374
"U1Z","30-49 ans",48.1121545523973
"V0Z","30-49 ans",45.1878954222992
"V1Z","30-49 ans",45.0209853770685
"V2Z","30-49 ans",47.3404801224098
"V3Z","30-49 ans",48.0101144589771
"V4Z","30-49 ans",49.4866591962204
"V5Z","30-49 ans",42.740113146697
"W0Z","30-49 ans",56.4206792062378
"W1Z","30-49 ans",44.6070097975113
"ZZZ","30-49 ans",36.100966392615
"Ensemble","50-54 ans",9.31669124353424
"A0Z","50-54 ans",8.4538028734308
"A1Z","50-54 ans",11.7976659710951
"A2Z","50-54 ans",4.02626463910622
"A3Z","50-54 ans",10.7273377065056
"B0Z","50-54 ans",8.43859587176337
"B1Z","50-54 ans",12.5556843660074
"B2Z","50-54 ans",11.4579598972631
"B3Z","50-54 ans",6.77816412112379
"B4Z","50-54 ans",10.674167252035
"B5Z","50-54 ans",12.2697698730381
"B6Z","50-54 ans",11.5807060730986
"B7Z","50-54 ans",9.93729360021434
"C0Z","50-54 ans",11.0005652911249
"C1Z","50-54 ans",12.4549013587165
"C2Z","50-54 ans",9.57809378305324
"D0Z","50-54 ans",8.71393812999652
"D1Z","50-54 ans",10.772403356034
"D2Z","50-54 ans",11.0883106034467
"D3Z","50-54 ans",7.09535509879795
"D4Z","50-54 ans",11.5273534200138
"D6Z","50-54 ans",8.09915327033992
"E0Z","50-54 ans",10.5398775566167
"E1Z","50-54 ans",10.0474502272528
"E2Z","50-54 ans",6.68327440265724
"F0Z","50-54 ans",13.1444044270354
"F1Z","50-54 ans",12.2072299353831
"F2Z","50-54 ans",10.2093625029405
"F3Z","50-54 ans",10.8918431574585
"F4Z","50-54 ans",11.2901291610528
"F5Z","50-54 ans",10.4677162460181
"G0A","50-54 ans",14.6999041306128
