"Fap","Salaire","Milliers","Pourcentage"
"U1Z91","De 2000 € à moins de 3000 €",6.7937,15.6449917695511
"U1Z91","3000 € ou plus",13.31141,30.6544151038639
"U1Z93","Moins de 1250 €",0.08414,1.02686771175943
"U1Z93","De 1250 € à moins de 1500 €",0.23217,2.83346656333714
"U1Z93","De 1500 € à moins de 2000 €",2.1766,26.5638253080054
"U1Z93","De 2000 € à moins de 3000 €",2.36878,28.9092429077906
"U1Z93","3000 € ou plus",3.33216,40.6665975091074
"T2B","Moins de 1250 €",125.02808,42.4245800994684
"T2B","De 1250 € à moins de 1500 €",49.1644,16.6824846533859
"T2B","De 1500 € à moins de 2000 €",74.63957,25.3267299318271
"T2B","De 2000 € à moins de 3000 €",7.03981,2.38875125675799
"T2B","3000 € ou plus",38.83484,13.1774540585606
"T2B60","Moins de 1250 €",125.02808,42.4245800994684
"T2B60","De 1250 € à moins de 1500 €",49.1644,16.6824846533859
"T2B60","De 1500 € à moins de 2000 €",74.63957,25.3267299318271
"T2B60","De 2000 € à moins de 3000 €",7.03981,2.38875125675799
"T2B60","3000 € ou plus",38.83484,13.1774540585606
"U0Z80","Moins de 1250 €",6.42344,18.7480608921458
"U0Z80","De 1250 € à moins de 1500 €",4.41123,12.875034039278
"U0Z80","De 1500 € à moins de 2000 €",10.04609,29.3214705902097
"U0Z80","De 2000 € à moins de 3000 €",1.54558,4.51107630081119
"U0Z80","3000 € ou plus",11.83555,34.5443581775553
"R2Z80","Moins de 1250 €",21.41608,6.06981181471305
"R2Z80","De 1250 € à moins de 1500 €",33.40513,9.46778554927071
"R2Z80","De 1500 € à moins de 2000 €",104.51889,29.6230679649448
"R2Z80","De 2000 € à moins de 3000 €",53.34744,15.1198968997452
"R2Z80","3000 € ou plus",140.14185,39.7194377713262
"R2Z","Moins de 1250 €",30.01051,7.03429289599355
"R2Z","De 1250 € à moins de 1500 €",46.32456,10.8582134498223
"R2Z","De 1500 € à moins de 2000 €",124.84791,29.2636401844768
"R2Z","De 2000 € à moins de 3000 €",63.46089,14.874871759941
"R2Z","3000 € ou plus",161.98764,37.9689817097664
"P1Z81","Moins de 1250 €",7.56625,2.71812248103287
"P1Z81","De 1250 € à moins de 1500 €",24.73823,8.8870363923954
"P1Z81","De 1500 € à moins de 2000 €",107.03747,38.4524637065761
"P1Z81","De 2000 € à moins de 3000 €",11.00478,3.95339037393965
"P1Z81","3000 € ou plus",128.01637,45.988987046056
"E0Z24","Moins de 1250 €",7.36956,35.5292731443404
"E0Z24","De 1250 € à moins de 1500 €",4.70206,22.6690296409931
"E0Z24","De 1500 € à moins de 2000 €",7.1653,34.5445183784571
"E0Z24","De 2000 € à moins de 3000 €",0.10173,0.490448949051741
"E0Z24","3000 € ou plus",1.40357,6.76672988715769
"E1Z47","Moins de 1250 €",1.5601,14.0244927459365
"E1Z47","De 1250 € à moins de 1500 €",2.38905,21.4763248475608
"E1Z47","De 1500 € à moins de 2000 €",5.00923,45.0303889479698
"E1Z47","De 2000 € à moins de 3000 €",0.31448,2.82701267786816
"E1Z47","3000 € ou plus",1.85125,16.6417807806647
"E1Z42","Moins de 1250 €",10.01595,13.9990822840142
"E1Z42","De 1250 € à moins de 1500 €",16.40336,22.9266306615256
"E1Z42","De 1500 € à moins de 2000 €",27.45625,38.3750221357401
"E1Z42","De 2000 € à moins de 3000 €",2.89077,4.04036832194248
"E1Z42","3000 € ou plus",14.78086,20.6588965967776
"E1Z41","Moins de 1250 €",3.01616,4.87667169937496
"E1Z41","De 1250 € à moins de 1500 €",12.19587,19.7188657359875
"E1Z41","De 1500 € à moins de 2000 €",23.67425,38.277659334693
"E1Z41","De 2000 € à moins de 3000 €",3.2882,5.31651897839794
"E1Z41","3000 € ou plus",19.67426,31.8102842515466
"E1Z43","Moins de 1250 €",2.27544,4.1868046763177
"E1Z43","De 1250 € à moins de 1500 €",7.82886,14.4050854596195
"E1Z43","De 1500 € à moins de 2000 €",26.33813,48.4621022085678
"E1Z43","De 2000 € à moins de 3000 €",1.77937,3.27403694973255
"E1Z43","3000 € ou plus",16.12609,29.6719707057625
"V3Z80","Moins de 1250 €",1.44625,4.98452685682026
"V3Z80","De 1250 € à moins de 1500 €",2.05246,7.07384061714732
"V3Z80","De 1500 € à moins de 2000 €",13.97964,48.1810828201755
"V3Z80","De 2000 € à moins de 3000 €",1.48883,5.13127959912858
"V3Z80","3000 € ou plus",10.04761,34.6292701067283
"Q","Moins de 1250 €",18.69767,3.23104220610843
"Q","De 1250 € à moins de 1500 €",41.00351,7.08559255824865
"Q","De 1500 € à moins de 2000 €",134.71271,23.2789674707728
"Q","De 2000 € à moins de 3000 €",172.26868,29.7688094757575
"Q","3000 € ou plus",212.00594,36.6355882891126
"S0Z40","Moins de 1250 €",7.55497,9.65862413088018
"S0Z40","De 1250 € à moins de 1500 €",20.11035,25.7100043799573
"S0Z40","De 1500 € à moins de 2000 €",38.43518,49.1373171597933
"S0Z40","De 2000 € à moins de 3000 €",2.34528,2.99831475196734
"S0Z40","3000 € ou plus",9.77416,12.4957395774019
"S0Z","Moins de 1250 €",16.44923,11.4563227967607
"S0Z","De 1250 € à moins de 1500 €",39.39351,27.4362244711406
"S0Z","De 1500 € à moins de 2000 €",65.50921,45.624911070049
