"Fap","Annee","Age","effectif_age","Pourcentage"
"J6Z","1982-1984","50 ans ou plus",9.59193,25.8133817741447
"K0Z","1982-1984","Moins de 30 ans",67.93766,43.2841919144715
"K0Z","1982-1984","De 30 à 49 ans",58.13344,37.0377633496416
"K0Z","1982-1984","50 ans ou plus",30.88611,19.6780447358869
"L0Z","1982-1984","Moins de 30 ans",277.04586,47.004818553684
"L0Z","1982-1984","De 30 à 49 ans",252.52726,42.8448850892736
"L0Z","1982-1984","50 ans ou plus",59.82573,10.1502963570424
"L1Z","1982-1984","Moins de 30 ans",150.61669,45.6998186561488
"L1Z","1982-1984","De 30 à 49 ans",143.40563,43.5118530706708
"L1Z","1982-1984","50 ans ou plus",35.55599,10.7883282731804
"L2Z","1982-1984","Moins de 30 ans",96.77871,43.9314844913392
"L2Z","1982-1984","De 30 à 49 ans",91.18011,41.3900700720603
"L2Z","1982-1984","50 ans ou plus",32.33583,14.6784454366005
"L3Z","1982-1984","Moins de 30 ans",38.09063,22.1734099631534
"L3Z","1982-1984","De 30 à 49 ans",105.35777,61.3311207247983
"L3Z","1982-1984","50 ans ou plus",28.33677,16.4954693120483
"L4Z","1982-1984","Moins de 30 ans",33.11022,24.0591541712127
"L4Z","1982-1984","De 30 à 49 ans",80.55376,58.5334477062027
"L4Z","1982-1984","50 ans ou plus",23.95607,17.4073981225846
"L5Z","1982-1984","Moins de 30 ans",21.724,9.70743721780667
"L5Z","1982-1984","De 30 à 49 ans",139.05167,62.1356728298735
"L5Z","1982-1984","50 ans ou plus",63.01151,28.1568899523199
"L6Z","1982-1984","Moins de 30 ans",5.81724,4.34378541734088
"L6Z","1982-1984","De 30 à 49 ans",72.32869,54.0084832115177
"L6Z","1982-1984","50 ans ou plus",55.77505,41.6477313711414
"M0Z","1982-1984","Moins de 30 ans",23.88043,52.27434166271
"M0Z","1982-1984","De 30 à 49 ans",19.68177,43.0834607880543
"M0Z","1982-1984","50 ans ou plus",2.12069,4.64219754923561
"M1Z","1982-1984","Moins de 30 ans",60.17082,45.3852804801527
"M1Z","1982-1984","De 30 à 49 ans",65.31357,49.2643227001075
"M1Z","1982-1984","50 ans ou plus",7.09344,5.35039681973977
"M2Z","1982-1984","Moins de 30 ans",11.43213,26.6294513910888
"M2Z","1982-1984","De 30 à 49 ans",29.27217,68.1851788010361
"M2Z","1982-1984","50 ans ou plus",2.2261,5.18536980787507
"N0Z","1982-1984","Moins de 30 ans",19.65702,15.0838361785178
"N0Z","1982-1984","De 30 à 49 ans",80.94006,62.1094451406877
"N0Z","1982-1984","50 ans ou plus",29.72136,22.8067186807945
"P0Z","1982-1984","Moins de 30 ans",313.62971,38.8881562918716
"P0Z","1982-1984","De 30 à 49 ans",390.06938,48.366205529806
"P0Z","1982-1984","50 ans ou plus",102.7925,12.7456381783225
"P1Z","1982-1984","Moins de 30 ans",89.77051,24.325854911963
"P1Z","1982-1984","De 30 à 49 ans",205.5377,55.6962444475203
"P1Z","1982-1984","50 ans ou plus",73.72511,19.9779006405167
"P2Z","1982-1984","Moins de 30 ans",32.27018,12.8941061357622
"P2Z","1982-1984","De 30 à 49 ans",151.10893,60.3781751908872
"P2Z","1982-1984","50 ans ou plus",66.89167,26.7277186733505
"P3Z","1982-1984","Moins de 30 ans",4.72717,13.3301054977729
"P3Z","1982-1984","De 30 à 49 ans",20.29186,57.2208392222063
"P3Z","1982-1984","50 ans ou plus",10.44333,29.4490552800208
"P4Z","1982-1984","Moins de 30 ans",463.88975,68.9794197234972
"P4Z","1982-1984","De 30 à 49 ans",188.56697,28.0395075976956
"P4Z","1982-1984","50 ans ou plus",20.04785,2.98107267880722
"Q0Z","1982-1984","Moins de 30 ans",149.61625,43.0105550122006
"Q0Z","1982-1984","De 30 à 49 ans",168.59064,48.4651700350872
"Q0Z","1982-1984","50 ans ou plus",29.65249,8.52427495271221
"Q1Z","1982-1984","Moins de 30 ans",24.17665,23.1109332250977
"Q1Z","1982-1984","De 30 à 49 ans",66.60063,63.6648465639136
"Q1Z","1982-1984","50 ans ou plus",13.83403,13.2242202109887
"Q2Z","1982-1984","Moins de 30 ans",7.99035,5.37067638319946
"Q2Z","1982-1984","De 30 à 49 ans",99.63691,66.9704830742045
"Q2Z","1982-1984","50 ans ou plus",41.15009,27.658840542596
"R0Z","1982-1984","Moins de 30 ans",134.04509,52.3399509255452
"R0Z","1982-1984","De 30 à 49 ans",94.13193,36.7552485266477
"R0Z","1982-1984","50 ans ou plus",27.92771,10.9048005478071
"R1Z","1982-1984","Moins de 30 ans",307.89264,45.2574251402025
"R1Z","1982-1984","De 30 à 49 ans",275.7091,40.5267367018666
"R1Z","1982-1984","50 ans ou plus",96.71235,14.2158381579308
"R2Z","1982-1984","Moins de 30 ans",88.7044,24.7096922316748
"R2Z","1982-1984","De 30 à 49 ans",210.23734,58.5641745731438
"R2Z","1982-1984","50 ans ou plus",60.04452,16.7261331951813
"R3Z","1982-1984","Moins de 30 ans",85.50852,14.6066797702576
"R3Z","1982-1984","De 30 à 49 ans",293.34633,50.1098124969338
"R3Z","1982-1984","50 ans ou plus",206.55211,35.2835077328086
"R4Z","1982-1984","Moins de 30 ans",28.62142,10.9398546921488
"R4Z","1982-1984","De 30 à 49 ans",172.40152,65.8963663405093
"R4Z","1982-1984","50 ans ou plus",60.60229,23.163778967342
"S0Z","1982-1984","Moins de 30 ans",139.51107,45.3594907967206
"S0Z","1982-1984","De 30 à 49 ans",119.89005,38.980072474488
"S0Z","1982-1984","50 ans ou plus",48.16642,15.6604367287913
"S1Z","1982-1984","Moins de 30 ans",107.57704,39.8232359390643
"S1Z","1982-1984","De 30 à 49 ans",121.39935,44.9400258447252
"S1Z","1982-1984","50 ans ou plus",41.15997,15.2367382162105
"S2Z","1982-1984","Moins de 30 ans",114.57115,60.0215807294993
"S2Z","1982-1984","De 30 à 49 ans",57.41671,30.079489421964
"S2Z","1982-1984","50 ans ou plus",18.8954,9.89892984853674
"S3Z","1982-1984","Moins de 30 ans",34.96759,13.953958420643
"S3Z","1982-1984","De 30 à 49 ans",133.26392,53.1795070421467
"S3Z","1982-1984","50 ans ou plus",82.36111,32.8665345372102
"T0Z","1982-1984","Moins de 30 ans",86.30706,56.8129028333957
"T0Z","1982-1984","De 30 à 49 ans",46.01459,30.2897866129207
"T0Z","1982-1984","50 ans ou plus",19.59289,12.8973105536837
"T1Z","1982-1984","Moins de 30 ans",53.40025,21.7521432278237
"T1Z","1982-1984","De 30 à 49 ans",116.80731,47.580476443028
"T1Z","1982-1984","50 ans ou plus",75.28664,30.6673803291483
"T2A","1982-1984","Moins de 30 ans",0,NA
"T2A","1982-1984","De 30 à 49 ans",0,NA
"T2A","1982-1984","50 ans ou plus",0,NA
"T2B","1982-1984","Moins de 30 ans",0,NA
"T2B","1982-1984","De 30 à 49 ans",0,NA
"T2B","1982-1984","50 ans ou plus",0,NA
"T2Z","1982-1984","Moins de 30 ans",67.01067,20.123134574647
"T2Z","1982-1984","De 30 à 49 ans",197.23921,59.2304354847825
"T2Z","1982-1984","50 ans ou plus",68.75326,20.6464299405705
"T3Z","1982-1984","Moins de 30 ans",36.60863,25.0944452898685
"T3Z","1982-1984","De 30 à 49 ans",59.81718,41.0034177980497
"T3Z","1982-1984","50 ans ou plus",49.45759,33.9021369120818
"T4Z","1982-1984","Moins de 30 ans",313.98411,28.2403797066234
"T4Z","1982-1984","De 30 à 49 ans",532.3051,47.8766207110676
"T4Z","1982-1984","50 ans ou plus",265.53759,23.8829995823091
"T6Z","1982-1984","Moins de 30 ans",20.21317,30.5757689711725
"T6Z","1982-1984","De 30 à 49 ans",28.88024,43.686148489921
"T6Z","1982-1984","50 ans ou plus",17.01505,25.7380825389065
"U0Z","1982-1984","Moins de 30 ans",15.81987,24.8773420590305
"U0Z","1982-1984","De 30 à 49 ans",36.7893,57.8525613808642
"U0Z","1982-1984","50 ans ou plus",10.98231,17.2700965601052
"U1Z","1982-1984","Moins de 30 ans",49.585,29.9901262718284
"U1Z","1982-1984","De 30 à 49 ans",88.23578,53.3669896923116
"U1Z","1982-1984","50 ans ou plus",27.51697,16.6428840358599
"V0Z","1982-1984","Moins de 30 ans",110.35045,43.0457201806329
"V0Z","1982-1984","De 30 à 49 ans",113.27383,44.1860779903352
"V0Z","1982-1984","50 ans ou plus",32.7321,12.7682018290319
"V1Z","1982-1984","Moins de 30 ans",142.79742,40.4794910694903
"V1Z","1982-1984","De 30 à 49 ans",182.88362,51.8429244908351
"V1Z","1982-1984","50 ans ou plus",27.08382,7.67758443967463
"V2Z","1982-1984","Moins de 30 ans",48.61105,24.2272503880837
"V2Z","1982-1984","De 30 à 49 ans",113.83105,56.7322316693112
"V2Z","1982-1984","50 ans ou plus",38.20407,19.0405179426051
"V3Z","1982-1984","Moins de 30 ans",85.52248,41.8998133572261
"V3Z","1982-1984","De 30 à 49 ans",101.54996,49.7521162907551
"V3Z","1982-1984","50 ans ou plus",17.0394,8.34807035201877
"V4Z","1982-1984","Moins de 30 ans",37.13211,35.6070220767294
"V4Z","1982-1984","De 30 à 49 ans",57.26956,54.9173878684669
"V4Z","1982-1984","50 ans ou plus",9.88144,9.4755900548037
"V5Z","1982-1984","Moins de 30 ans",119.32021,59.1348837462864
"V5Z","1982-1984","De 30 à 49 ans",65.66949,32.5456823854728
"V5Z","1982-1984","50 ans ou plus",16.78665,8.31943386824075
"W0Z","1982-1984","Moins de 30 ans",204.13843,22.2632932890159
"W0Z","1982-1984","De 30 à 49 ans",604.10082,65.8831055563376
"W0Z","1982-1984","50 ans ou plus",108.68902,11.8536011546465
"W1Z","1982-1984","Moins de 30 ans",12.88272,29.6783664126569
"W1Z","1982-1984","De 30 à 49 ans",26.03298,59.9730739512594
"W1Z","1982-1984","50 ans ou plus",4.49208,10.3485596360837
"X0Z","1982-1984","Moins de 30 ans",0.95681,3.5876563115169
"X0Z","1982-1984","De 30 à 49 ans",8.39876,31.4920039745777
"X0Z","1982-1984","50 ans ou plus",17.31393,64.9203397139054
"ZZZ","1982-1984","Moins de 30 ans",14.23743,39.9174759078099
"ZZZ","1982-1984","De 30 à 49 ans",15.97888,44.7999784675876
"ZZZ","1982-1984","50 ans ou plus",5.45085,15.2825456246026
"A0Z","1983-1985","Moins de 30 ans",262.30894,16.633168218674
"A0Z","1983-1985","De 30 à 49 ans",596.47291,37.8227072623296
"A0Z","1983-1985","50 ans ou plus",718.24146,45.5441245189965
"A1Z","1983-1985","Moins de 30 ans",100.77074,29.5421386181897
"A1Z","1983-1985","De 30 à 49 ans",128.55856,37.6884679032313
"A1Z","1983-1985","50 ans ou plus",111.77918,32.769393478579
"A2Z","1983-1985","Moins de 30 ans",9.00716,30.2911252648787
"A2Z","1983-1985","De 30 à 49 ans",14.40098,48.4305695820894
"A2Z","1983-1985","50 ans ou plus",6.32717,21.2783051530319
"A3Z","1983-1985","Moins de 30 ans",14.99626,27.4160525919841
"A3Z","1983-1985","De 30 à 49 ans",30.52033,55.7970435565075
"A3Z","1983-1985","50 ans ou plus",9.18224,16.7869038515083
"B0Z","1983-1985","Moins de 30 ans",136.09225,40.4674960745632
"B0Z","1983-1985","De 30 à 49 ans",142.21872,42.2892228861628
"B0Z","1983-1985","50 ans ou plus",57.98918,17.243281039274
"B1Z","1983-1985","Moins de 30 ans",19.9346,19.4806140303302
"B1Z","1983-1985","De 30 à 49 ans",64.07002,62.6109041834566
"B1Z","1983-1985","50 ans ou plus",18.32583,17.9084817862132
"B2Z","1983-1985","Moins de 30 ans",78.18369,21.7717606246357
"B2Z","1983-1985","De 30 à 49 ans",208.58947,58.0857722327973
"B2Z","1983-1985","50 ans ou plus",72.3328,20.1424671425671
"B3Z","1983-1985","Moins de 30 ans",91.51254,67.360237275757
"B3Z","1983-1985","De 30 à 49 ans",35.96503,26.4730162055355
"B3Z","1983-1985","50 ans ou plus",8.37786,6.16674651870742
"B4Z","1983-1985","Moins de 30 ans",135.91381,27.9760025279997
"B4Z","1983-1985","De 30 à 49 ans",265.24732,54.5975401238855
"B4Z","1983-1985","50 ans ou plus",84.66171,17.4264573481148
"B5Z","1983-1985","Moins de 30 ans",15.01005,22.1077496609837
"B5Z","1983-1985","De 30 à 49 ans",43.50675,64.0794892464051
"B5Z","1983-1985","50 ans ou plus",9.37817,13.8127610926111
"B6Z","1983-1985","Moins de 30 ans",52.53294,23.7189557218112
"B6Z","1983-1985","De 30 à 49 ans",133.70945,60.370665036789
"B6Z","1983-1985","50 ans ou plus",35.23844,15.9103792413998
"B7Z","1983-1985","Moins de 30 ans",9.80442,12.8169389691983
"B7Z","1983-1985","De 30 à 49 ans",50.83358,66.4527725705202
"B7Z","1983-1985","50 ans ou plus",15.8578,20.7302884602815
"C0Z","1983-1985","Moins de 30 ans",38.40068,49.0708208470113
"C0Z","1983-1985","De 30 à 49 ans",34.40122,43.9600575702988
"C0Z","1983-1985","50 ans ou plus",5.45373,6.96912158268996
"C1Z","1983-1985","Moins de 30 ans",28.70583,37.7545994373208
"C1Z","1983-1985","De 30 à 49 ans",40.8042,53.6666672365971
"C1Z","1983-1985","50 ans ou plus",6.52264,8.57873332608206
"C2Z","1983-1985","Moins de 30 ans",54.05639,33.2762748077468
"C2Z","1983-1985","De 30 à 49 ans",93.72248,57.6941042519405
"C2Z","1983-1985","50 ans ou plus",14.66837,9.02962094031268
"D0Z","1983-1985","Moins de 30 ans",45.35704,47.6673025524269
"D0Z","1983-1985","De 30 à 49 ans",38.6239,40.5912098111932
"D0Z","1983-1985","50 ans ou plus",11.17242,11.7414876363798
