Fap3;Annee;Part
D0Z;2014;78.42
D1Z;2014;53.19
D2Z;2014;60.22
D3Z;2014;81.17
D4Z;2014;54.25
D6Z;2014;42.52
E0Z;2014;91.46
E1Z;2014;76.83
E2Z;2014;59.13
Ensemble;2014;85.2
F0Z;2014;86.55
F1Z;2014;81.93
F2Z;2014;77.4
F3Z;2014;67.74
F4Z;2014;84.44
F5Z;2014;50.53
G0A;2014;76.97
G0B;2014;45.88
G1Z;2014;67.13
H0Z;2014;28.4
J0Z;2014;90.95
J1Z;2014;71.67
J3Z;2014;65.25
J4Z;2014;71.2
J5Z;2014;85.69
J6Z;2014;61.43
K0Z;2014;80.46
L0Z;2014;72.73
L1Z;2014;62.66
L2Z;2014;86.97
L3Z;2014;55.33
L4Z;2014;57.84
L5Z;2014;32.86
L6Z;2014;29.96
M0Z;2014;69.97
M1Z;2014;47.5
M2Z;2014;14.44
N0Z;2014;29.7
P0Z;2014;79.43
P1Z;2014;73.03
P2Z;2014;69.26
P3Z;2014;49.58
P4Z;2014;82.86
Q0Z;2014;80.62
Q1Z;2014;51.88
Q2Z;2014;21.82
R0Z;2014;88.4
R1Z;2014;80.75
R2Z;2014;30.73
R3Z;2014;79.68
R4Z;2014;23.08
S0Z;2014;71.54
S1Z;2014;71.03
S2Z;2014;84.36
S3Z;2014;22.32
T0Z;2014;77.15
T1Z;2014;91.25
T2A;2014;86.1
T2B;2014;74.2
T3Z;2014;79.47
T4Z;2014;93.36
T6Z;2014;91.36
U0Z;2014;83.46
U1Z;2014;99.59
V0Z;2014;96.74
V1Z;2014;95.13
V2Z;2014;83.8
V3Z;2014;77.43
V4Z;2014;91.54
V5Z;2014;92.69
W0Z;2014;90.07
W1Z;2014;95.3
X0Z;2014;23.09
ZZZ;2014;77.17
