"Fap","stat_sl","annee","effectif","pourcentage","part"
"M1Z","cdd","1984-1986",7.30985,0.0491215825779979,4.91215825779979
"M2Z","cdd","1984-1986",1.65468,0.0325174493292937,3.25174493292937
"N0Z","cdd","1984-1986",6.21133,0.0414763320684091,4.14763320684091
"P0Z","cdd","1984-1986",106.08915,0.129657275884063,12.9657275884063
"P1Z","cdd","1984-1986",13.50619,0.0365009571029253,3.65009571029253
"P2Z","cdd","1984-1986",7.3362,0.0291532758053999,2.91532758053999
"P3Z","cdd","1984-1986",0.10531,0.00287358360515635,0.287358360515635
"P4Z","cdd","1984-1986",368.4824,0.520015168515612,52.0015168515612
"Q0Z","cdd","1984-1986",13.77764,0.0386465229001638,3.86465229001638
"Q1Z","cdd","1984-1986",3.03133,0.0256872628519147,2.56872628519147
"Q2Z","cdd","1984-1986",1.02882,0.00629622630332044,0.629622630332044
"R0Z","cdd","1984-1986",17.94177,0.0681128733842062,6.81128733842062
"R1Z","cdd","1984-1986",45.01536,0.0655952363448939,6.55952363448939
"R2Z","cdd","1984-1986",23.19688,0.0630622504322384,6.30622504322384
"R3Z","cdd","1984-1986",7.86218,0.0137416395651862,1.37416395651862
"R4Z","cdd","1984-1986",6.58085,0.0253655169117579,2.53655169117579
"S0Z","cdd","1984-1986",8.23173,0.0269655887557145,2.69655887557145
"S1Z","cdd","1984-1986",22.60106,0.0817906447326509,8.17906447326509
"S2Z","cdd","1984-1986",25.95765,0.123380056431998,12.3380056431998
"S3Z","cdd","1984-1986",0,0,0
"T0Z","cdd","1984-1986",6.01929,0.0383865639851637,3.83865639851637
"T1Z","cdd","1984-1986",5.20764,0.0241461745767624,2.41461745767624
"T2A","cdd","1984-1986",0,NA,NA
"T2B","cdd","1984-1986",0,NA,NA
"T2Z","cdd","1984-1986",94.60326,0.273779023085346,27.3779023085346
"T3Z","cdd","1984-1986",12.32395,0.0785027120300034,7.85027120300034
"T4Z","cdd","1984-1986",186.77363,0.163559214373729,16.3559214373729
"T6Z","cdd","1984-1986",3.35312,0.0486231498524029,4.86231498524029
"U0Z","cdd","1984-1986",4.45016,0.0713501692301032,7.13501692301032
"U1Z","cdd","1984-1986",27.10741,0.144599166525663,14.4599166525663
"V0Z","cdd","1984-1986",24.48035,0.0892080045839432,8.92080045839432
"V1Z","cdd","1984-1986",16.88419,0.0450533143565771,4.50533143565771
"V2Z","cdd","1984-1986",26.08859,0.12047434268089,12.047434268089
"V3Z","cdd","1984-1986",13.02578,0.0587440900332199,5.87440900332199
"V4Z","cdd","1984-1986",14.30575,0.117623142219109,11.7623142219109
"V5Z","cdd","1984-1986",95.68824,0.403528444407821,40.3528444407821
"W0Z","cdd","1984-1986",73.43825,0.0792547993518305,7.92547993518305
"W1Z","cdd","1984-1986",7.55537,0.152619431229073,15.2619431229073
"X0Z","cdd","1984-1986",2.59559,0.0977002192203225,9.77002192203225
"ZZZ","cdd","1984-1986",1.01182,0.0653943522060625,6.53943522060625
"SAL","cdd","1984-1986",3566.8101,0.0957523371448993,9.57523371448993
"A0Z","cdd","1985-1987",28.1888,0.0192258181632965,1.92258181632965
"A1Z","cdd","1985-1987",26.30528,0.0751529655835936,7.51529655835937
"A2Z","cdd","1985-1987",1.8743,0.0620245695790053,6.20245695790053
"A3Z","cdd","1985-1987",2.71395,0.068134950861092,6.8134950861092
"B0Z","cdd","1985-1987",33.78802,0.110913813669171,11.0913813669171
"B1Z","cdd","1985-1987",3.75857,0.0340135001714896,3.40135001714896
"B2Z","cdd","1985-1987",15.61671,0.0451353626482895,4.51353626482895
"B3Z","cdd","1985-1987",27.0825,0.183111535056469,18.3111535056469
"B4Z","cdd","1985-1987",16.762,0.0333686157041122,3.33686157041122
"B5Z","cdd","1985-1987",1.98623,0.0283256542525489,2.83256542525489
"B6Z","cdd","1985-1987",13.02382,0.0580314673564474,5.80314673564474
"B7Z","cdd","1985-1987",3.11951,0.0408303741932444,4.08303741932444
"C0Z","cdd","1985-1987",6.90071,0.0858252749826284,8.58252749826284
"C1Z","cdd","1985-1987",2.21034,0.0302011909736104,3.02011909736104
"C2Z","cdd","1985-1987",5.24871,0.0315314782219829,3.15314782219829
"D0Z","cdd","1985-1987",6.73584,0.0959869354345699,9.59869354345699
"D1Z","cdd","1985-1987",3.25004,0.0237239517865157,2.37239517865157
"D2Z","cdd","1985-1987",5.1738,0.0280761473652062,2.80761473652062
"D3Z","cdd","1985-1987",28.5978,0.0896631138425698,8.96631138425698
"D4Z","cdd","1985-1987",3.19532,0.0221088697783751,2.21088697783751
"D6Z","cdd","1985-1987",6.68141,0.025017130122281,2.5017130122281
"E0Z","cdd","1985-1987",26.03518,0.0767261345354808,7.67261345354808
"E1Z","cdd","1985-1987",7.9129,0.0298929781591125,2.98929781591125
"E2Z","cdd","1985-1987",3.93404,0.0180171078347746,1.80171078347746
"ENS","cdd","1985-1987",1943.07153,0.0866746156035435,8.66746156035435
"F0Z","cdd","1985-1987",23.01639,0.086628270748956,8.6628270748956
"F1Z","cdd","1985-1987",9.56897,0.0690698238270057,6.90698238270057
"F2Z","cdd","1985-1987",5.41426,0.104460665232379,10.4460665232379
"F3Z","cdd","1985-1987",2.607,0.0347479771998888,3.47479771998888
